¥éËAREA 1,AREA 2,M3,backload,standard
Brisbane,Perth,1,300,400
Brisbane,Perth,2,300,400
Brisbane,Perth,3,300,400
Brisbane,Perth,4,300,400
Brisbane,Perth,5,300,400
Brisbane,Perth,6,330,400
Brisbane,Perth,7,350,440
Brisbane,Perth,8,400,500
Brisbane,Perth,9,450,550
Brisbane,Perth,10,500,600
Brisbane,Perth,11,550,660
Brisbane,Perth,12,600,720
Brisbane,Perth,13,650,780
Brisbane,Perth,14,700,840
Brisbane,Perth,15,750,900
Brisbane,Perth,16,800,960
Brisbane,Perth,17,850,1020
Brisbane,Perth,18,900,1080
Brisbane,Perth,19,950,1140
Brisbane,Perth,20,1000,1200
Brisbane,Perth,21,1050,1260
Brisbane,Perth,22,1100,1320
Brisbane,Perth,23,1150,1380
Brisbane,Perth,24,1200,1440
Brisbane,Perth,25,1250,1500
Brisbane,Perth,26,1300,1560
Brisbane,Perth,27,1350,1620
Brisbane,Perth,28,1400,1680
Brisbane,Perth,29,1450,1740
Brisbane,Perth,30,1500,1800
Brisbane,Perth,31,1550,1860
Brisbane,Perth,32,1600,1920
Brisbane,Perth,33,1650,1980
Brisbane,Perth,34,1700,2040
Brisbane,Perth,35,CLEARSKY ,CLEARSKY 
